Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
173,-0.0942234,27428,108737,114068,0.3442383,-0.9233398,0.1459961,0.1219512,6.9512195,-1.1585366,
173,-0.0980381,27414,108749,114072,0.3427734,-0.9194336,0.1489258,0.0609756,6.6463415,-1.4024390,
173,-0.1037602,27438,108751,114076,0.3432617,-0.9184570,0.1445313,-0.1829268,6.3414634,-1.6463415,
173,-0.1102452,27434,108755,114077,0.3466797,-0.9174805,0.1411133,-0.5487805,6.0365854,-1.8902439,
173,-0.1186375,27437,108769,114091,0.3554688,-0.9248047,0.1381836,-0.9146341,5.7926829,-2.1951220,
174,-0.1281743,27452,108775,114093,0.3549805,-0.9335938,0.1376953,-1.1585366,5.5487805,-2.4390244,
174,-0.1350408,27449,108773,114085,0.3505859,-0.9389648,0.1396484,-1.2804878,5.3048780,-2.6219512,
174,-0.1377111,27443,108785,114096,0.3481445,-0.9409180,0.1420898,-1.2804878,5.0609756,-2.8658537,
174,-0.1392370,27443,108787,114099,0.3500977,-0.9409180,0.1435547,-1.2195122,4.8780488,-3.1097561,
174,-0.1399999,27453,108805,114101,0.3515625,-0.9370117,0.1445313,-1.0365854,4.7560976,-3.4146341,
174,-0.1426702,27465,108803,114109,0.3525391,-0.9311523,0.1455078,-0.7926829,4.7560976,-3.6585366,
174,-0.1445776,27475,108817,114117,0.3535156,-0.9248047,0.1445313,-0.5487805,4.7560976,-3.9024390,
175,-0.1453405,27488,108824,114123,0.3549805,-0.9199219,0.1459961,-0.3658537,4.8170732,-4.1463415,
175,-0.1441961,27491,108818,114117,0.3564453,-0.9184570,0.1459961,-0.3048780,4.9390244,-4.3292683,
175,-0.1426702,27483,108838,114129,0.3598633,-0.9194336,0.1445313,-0.3048780,5.0609756,-4.5731707,
175,-0.1407629,27502,108840,114136,0.3657227,-0.9213867,0.1416016,-0.4268293,5.1219512,-4.6951220,
175,-0.1380926,27495,108835,114144,0.3627930,-0.9208984,0.1401367,-0.5487805,5.2439024,-4.8170732,
175,-0.1327520,27493,108849,114139,0.3618164,-0.9184570,0.1357422,-0.7317073,5.3048780,-4.9390244,
175,-0.1266484,27496,108851,114152,0.3593750,-0.9160156,0.1342773,-0.9146341,5.4268293,-5.0000000,
176,-0.1209264,27514,108860,114146,0.3569336,-0.9130859,0.1372070,-1.0975610,5.5487805,-5.1219512,
176,-0.1171117,27518,108863,114147,0.3603516,-0.9121094,0.1386719,-1.2195122,5.7926829,-5.2439024,
176,-0.1129155,27528,108878,114145,0.3608398,-0.9072266,0.1411133,-1.4024390,6.0365854,-5.4268293,
176,-0.1079563,27534,108867,114153,0.3632813,-0.9096680,0.1406250,-1.6463415,6.3414634,-5.6097561,
176,-0.1010899,27523,108885,114155,0.3676758,-0.9082031,0.1352539,-1.8902439,6.7073171,-5.8536585,
176,-0.0961307,27542,108889,114156,0.3759766,-0.9082031,0.1303711,-2.2560976,7.1341463,-6.0975610,
176,-0.0934604,27553,108884,114156,0.3779297,-0.9125977,0.1274414,-2.6829268,7.5609756,-6.2804878,
177,-0.0923160,27544,108886,114149,0.3837891,-0.9189453,0.1245117,-3.1097561,7.9878049,-6.3414634,
177,-0.0930790,27536,108893,114153,0.3857422,-0.9184570,0.1259766,-3.5975610,8.3536585,-6.4024390,
177,-0.0930790,27556,108880,114146,0.3813477,-0.9179688,0.1235352,-3.9024390,8.7195122,-6.4024390,
177,-0.0907901,27550,108881,114149,0.3759766,-0.9169922,0.1225586,-4.2073171,9.0853659,-6.3414634,
177,-0.0892643,27564,108890,114159,0.3691406,-0.9135742,0.1206055,-4.4512195,9.3902439,-6.3414634,
177,-0.0904087,27574,108897,114154,0.3671875,-0.9121094,0.1259766,-4.6951220,9.6951220,-6.3414634,
177,-0.0907901,27583,108899,114147,0.3608398,-0.9140625,0.1303711,-4.8170732,9.8780488,-6.4024390,
178,-0.0907901,27588,108897,114149,0.3613281,-0.9116211,0.1352539,-5.0000000,10.0609756,-6.5243902,
178,-0.0900272,27568,108906,114152,0.3671875,-0.9238281,0.1328125,-5.1829268,10.1829268,-6.4634146,
178,-0.0907901,27588,108901,114153,0.3632813,-0.9287109,0.1362305,-5.4268293,10.2439024,-6.2804878,
178,-0.0923160,27586,108887,114143,0.3686523,-0.9443359,0.1323242,-5.9146341,10.2439024,-5.7926829,
178,-0.0923160,27596,108892,114148,0.3793945,-0.9521484,0.1240234,-6.5243902,10.0000000,-5.1219512,
178,-0.0904087,27595,108895,114135,0.3833008,-0.9511719,0.1215820,-7.0121951,9.6341463,-4.2682927,
178,-0.0900272,27601,108893,114137,0.3779297,-0.9443359,0.1201172,-7.3780488,8.9634146,-3.4146341,
