Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
228,-0.2017983,30055,114899,118893,-0.0092773,-0.9594727,0.0566406,-2.9268293,2.4390244,-1.1585366,
228,-0.1956947,30060,114943,118919,-0.0078125,-0.9619141,0.0571289,-2.8658537,1.7073171,-0.9146341,
228,-0.1888282,30083,115000,118970,-0.0078125,-0.9633789,0.0625000,-3.4146341,0.5487805,-0.9146341,
228,-0.1842506,30103,115053,119015,-0.0043945,-0.9663086,0.0590820,-4.5121951,-0.8536585,-1.0975610,
228,-0.1766212,30098,115082,119043,0.0004883,-0.9804688,0.0541992,-5.6097561,-2.1341463,-1.4024390,
228,-0.1667029,30105,115099,119060,0.0024414,-0.9975586,0.0556641,-6.3414634,-3.1707317,-1.5853659,
229,-0.1564032,30118,115126,119069,0.0058594,-1.0146484,0.0615234,-6.3414634,-3.6585366,-1.6463415,
229,-0.1468664,30133,115140,119086,0.0048828,-1.0190430,0.0722656,-5.4878049,-3.7804878,-1.8292683,
229,-0.1407629,30111,115128,119085,0.0039063,-1.0234375,0.0766602,-4.1463415,-3.7195122,-2.0121951,
229,-0.1346593,30109,115123,119070,0.0000000,-1.0175781,0.0849609,-2.6829268,-3.5365854,-2.1951220,
229,-0.1270299,30120,115060,119020,-0.0039063,-1.0146484,0.0849609,-1.4634146,-3.4146341,-2.1951220,
229,-0.1171117,30102,115001,118968,-0.0112305,-1.0166016,0.0834961,-0.7926829,-3.4146341,-2.0121951,
229,-0.1064305,30059,114920,118904,-0.0126953,-1.0166016,0.0781250,-0.4878049,-3.5365854,-1.5853659,
230,-0.0930790,30054,114853,118846,-0.0117188,-1.0166016,0.0742188,-0.3658537,-3.7804878,-1.2195122,
230,-0.0801089,30043,114785,118806,-0.0048828,-1.0136719,0.0737305,-0.3048780,-4.0853659,-0.9146341,
230,-0.0663760,30032,114729,118754,0.0073242,-1.0102539,0.0732422,-0.3658537,-4.3292683,-0.7926829,
230,-0.0553133,30014,114682,118739,0.0185547,-1.0087891,0.0742188,-0.6707317,-4.4512195,-0.7926829,
230,-0.0488283,30015,114661,118714,0.0253906,-1.0102539,0.0756836,-1.4024390,-4.5731707,-0.7317073,
230,-0.0438692,30007,114686,118747,0.0302734,-1.0141602,0.0791016,-2.4390244,-4.6341463,-0.5487805,
230,-0.0419618,30028,114712,118752,0.0327148,-1.0151367,0.0839844,-3.1707317,-4.7560976,-0.3048780,
231,-0.0385286,30037,114761,118776,0.0351563,-1.0185547,0.0878906,-4.1463415,-4.9390244,0.1219512,
231,-0.0324251,30043,114794,118799,0.0332031,-1.0205078,0.0908203,-4.9390244,-5.1219512,0.6097561,
231,-0.0274659,30069,114839,118882,0.0346680,-1.0122070,0.0898438,-5.3658537,-5.2439024,1.1585366,
231,-0.0213624,30065,114858,118867,0.0356445,-1.0063477,0.0854492,-5.6097561,-5.1829268,1.5853659,
231,-0.0152588,30061,114873,118865,0.0317383,-0.9970703,0.0810547,-5.8536585,-4.6951220,2.0121951,
231,-0.0106812,30065,114861,118847,0.0273438,-0.9907227,0.0668945,-6.4024390,-3.9024390,2.3170732,
231,-0.0057221,30071,114824,118822,0.0205078,-0.9785156,0.0629883,-7.4390244,-2.6829268,2.5609756,
232,-0.0019074,30031,114753,118774,0.0161133,-0.9672852,0.0532227,-8.9634146,-1.3414634,2.7439024,
232,-0.0007629,30020,114680,118714,0.0102539,-0.9707031,0.0312500,-10.9146341,-0.1219512,2.8658537,
232,0.0003815,30006,114604,118654,0.0000000,-0.9711914,0.0219727,-12.9268293,0.7926829,2.9878049,
232,0.0057221,29982,114530,118591,-0.0053711,-0.9746094,0.0122070,-14.2682927,1.2804878,3.0487805,
232,0.0179291,29962,114445,118546,-0.0029297,-0.9775391,0.0156250,-14.4512195,1.2804878,2.9878049,
232,0.0324251,29952,114401,118512,0.0083008,-0.9887695,0.0229492,-12.9268293,0.8536585,2.5609756,
232,0.0461580,29962,114365,118471,0.0112305,-0.9902344,0.0415039,-9.6341463,0.3048780,1.8902439,
233,0.0518801,29920,114295,118416,0.0126953,-0.9843750,0.0571289,-4.9390244,-0.1219512,1.1585366,
233,0.0537874,29895,114124,118284,0.0122070,-0.9746094,0.0644531,-0.0609756,-0.2439024,0.5487805,
233,0.0530245,29822,113960,118134,0.0102539,-0.9716797,0.0502930,3.2926829,-0.1829268,0.0609756,
233,0.0480654,29783,113735,117978,0.0141602,-0.9829102,0.0439453,4.2682927,0.0000000,-0.1829268,
233,0.0442507,29692,113463,117769,0.0200195,-0.9829102,0.0244141,3.9024390,0.6097561,-0.6707317,
233,0.0411989,29655,113258,117632,0.0170898,-0.9873047,0.0000000,2.7439024,1.4024390,-1.2804878,
233,0.0400545,29594,113149,117553,0.0141602,-0.9907227,0.0253906,2.0121951,2.1951220,-1.7682927,
234,0.0423433,29598,113090,117522,0.0136719,-0.9887695,0.0478516,2.7439024,2.8048780,-2.0121951,
234,0.0476839,29565,113109,117530,0.0078125,-0.9965820,0.0786133,5.0000000,2.8658537,-2.2560976,
234,0.0686648,29566,113074,117504,0.0063477,-1.0014648,0.0981445,8.1097561,2.1951220,-2.3170732,
234,0.0671389,29533,112979,117419,0.0029297,-1.0039063,0.1079102,11.0975610,0.7926829,-2.1951220,
234,-0.0427248,29502,112785,117266,0.0029297,-1.0039063,0.1035156,12.5609756,-0.9756098,-1.8902439,
234,-0.1388555,29408,112548,117077,0.0043945,-1.0092773,0.0859375,11.3414634,-2.7439024,-1.4024390,
234,0.0484468,29315,112252,116848,0.0019531,-1.0126953,0.0625000,7.8048780,-3.9634146,-0.9756098,
